Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,23,1995,17,6,655,0,0,0,0,1,0,0,0,0,0,0,0.7,0.7,0.7,0.09,0.1,0.19,0.09,0.19,Matches
Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,28,1991,31,28,2513,3,1,2,2,12,0,0.11,0.04,0.14,0.04,0.07,2.5,0.9,1.8,0.09,0.07,0.15,0.03,0.1,Matches
James Milner\James-Milner,eng ENG,MFDF,Liverpool,33,1986,22,9,937,2,2,2,2,4,0,0.19,0.19,0.38,0,0.19,2.1,0.6,0.7,0.2,0.07,0.27,0.05,0.12,Matches
Yerry Mina\Yerry-Mina,co COL,DF,Everton,24,1994,29,25,2284,2,1,0,0,3,0,0.08,0.04,0.12,0.08,0.12,2.2,2.2,0.2,0.08,0.01,0.09,0.08,0.09,Matches
Takumi Minamino\Takumi-Minamino,jp JPN,FWMF,Liverpool,24,1995,10,2,249,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,0,0.52,0.01,0.53,0.52,0.53,Matches
Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,26,1993,33,33,2902,2,2,0,0,7,0,0.06,0.06,0.12,0.06,0.12,1.1,1.1,0.7,0.03,0.02,0.06,0.03,0.06,Matches
Tyrick Mitchell\Tyrick-Mitchell,eng ENG,DF,Crystal Palace,19,1999,4,2,195,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0,0.1,0.1,0,0.1,Matches
Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FW,Arsenal,30,1989,3,1,112,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.2,0.19,0.18,0.37,0.19,0.37,Matches
Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,33,1986,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.03,0.08,0.11,0.03,0.11,Matches
Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,28,1991,27,23,1896,0,1,0,0,5,0,0,0.05,0.05,0,0.05,1.3,1.3,1.4,0.06,0.07,0.13,0.06,0.13,Matches
Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Brighton,28,1990,31,25,2085,2,2,0,0,3,1,0.09,0.09,0.17,0.09,0.17,2,2,3.3,0.09,0.14,0.23,0.09,0.23,Matches
Wesley Moraes\Wesley-Moraes,br BRA,FW,Aston Villa,22,1996,21,21,1782,5,1,0,1,3,0,0.25,0.05,0.3,0.25,0.3,5.2,4.3,0.8,0.26,0.04,0.3,0.22,0.26,Matches
Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,35,1984,11,4,436,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.03,0,0.03,0.03,0.03,Matches
Ravel Morrison\Ravel-Morrison,eng ENG,MF,Sheffield Utd,26,1993,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0.17,0.17,0.17,Matches
Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,20,1999,37,32,2867,7,5,0,0,3,0,0.22,0.16,0.38,0.22,0.38,7,7,4.6,0.22,0.15,0.37,0.22,0.37,Matches
Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,26,1992,35,25,2242,4,4,0,0,3,0,0.16,0.16,0.32,0.16,0.32,5.7,5.7,2.4,0.23,0.1,0.33,0.23,0.33,Matches
Lys Mousset\Lys-Mousset,fr FRA,FW,Sheffield Utd,23,1996,30,11,1240,6,4,0,0,1,0,0.44,0.29,0.73,0.44,0.73,4.9,4.9,2.5,0.36,0.18,0.54,0.36,0.54,Matches
João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,32,1986,38,34,3108,1,6,0,0,7,0,0.03,0.17,0.2,0.03,0.2,0.8,0.8,6.3,0.02,0.18,0.21,0.02,0.21,Matches
Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,35,1983,23,7,797,1,1,0,0,0,0,0.11,0.11,0.23,0.11,0.23,2.1,2.1,0.5,0.24,0.06,0.3,0.24,0.3,Matches
Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,27,1992,15,13,1207,0,1,0,0,2,0,0,0.07,0.07,0,0.07,0.8,0.8,0,0.06,0,0.06,0.06,0.06,Matches
Yoshinori Mutō\Yoshinori-Muto,jp JPN,FWMF,Newcastle Utd,27,1992,8,2,212,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.03,0.03,0.05,0.03,0.05,Matches
Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,fr FRA,FW,Tottenham,24,1995,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0.71,0.71,0.71,Matches
Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,25,1994,29,19,1836,0,0,0,0,5,0,0,0,0,0,0,0.2,0.2,0.5,0.01,0.02,0.03,0.01,0.03,Matches
Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,22,1996,32,29,2674,2,1,0,0,6,0,0.07,0.03,0.1,0.07,0.1,1.8,1.8,0.4,0.06,0.01,0.07,0.06,0.07,Matches
Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,22,1996,21,12,1009,2,2,0,0,3,0,0.18,0.18,0.36,0.18,0.36,0.4,0.4,1.2,0.04,0.11,0.14,0.04,0.14,Matches
Reiss Nelson\Reiss-Nelson,eng ENG,FW,Arsenal,19,1999,17,7,631,1,0,0,0,1,0,0.14,0,0.14,0.14,0.14,0.9,0.9,0.7,0.12,0.1,0.22,0.12,0.22,Matches
Pedro Neto\Pedro-Neto,pt POR,FWMF,Wolves,19,2000,29,9,939,3,3,0,0,3,0,0.29,0.29,0.58,0.29,0.58,2,2,2.3,0.19,0.22,0.41,0.19,0.41,Matches
Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,22,1997,38,35,3056,2,2,0,0,9,0,0.06,0.06,0.12,0.06,0.12,1.7,1.7,2,0.05,0.06,0.11,0.05,0.11,Matches
Jeremy Ngakia\Jeremy-Ngakia,eng ENG,DF,West Ham,18,2000,5,5,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
Oumar Niasse\Oumar-Niasse,sn SEN,FW,Everton,29,1990,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,Arsenal,20,1999,13,7,633,2,0,0,0,0,1,0.28,0,0.28,0.28,0.28,3.2,3.2,0.7,0.46,0.09,0.56,0.46,0.56,Matches
Mark Noble\Mark-Noble,eng ENG,MF,West Ham,32,1987,33,32,2674,4,3,3,3,5,0,0.13,0.1,0.24,0.03,0.13,2.8,0.5,3,0.09,0.1,0.19,0.02,0.12,Matches
Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,28,1991,38,37,3090,1,1,1,1,8,0,0.03,0.03,0.06,0,0.03,1.5,0.7,4.2,0.04,0.12,0.17,0.02,0.14,Matches
Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,7,5,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,25,1994,33,32,2916,0,1,0,0,4,0,0,0.03,0.03,0,0.03,1.2,1.2,2.1,0.04,0.06,0.1,0.04,0.1,Matches
Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,19,2000,21,8,665,3,2,0,0,1,0,0.41,0.27,0.68,0.41,0.68,1.9,1.9,1.2,0.25,0.17,0.42,0.25,0.42,Matches
Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,31,1988,31,31,2786,2,0,0,0,4,0,0.06,0,0.06,0.06,0.06,1.6,1.6,0.1,0.05,0,0.05,0.05,0.05,Matches
Divock Origi\Divock-Origi,be BEL,FW,Liverpool,24,1995,28,7,717,4,1,0,0,1,0,0.5,0.13,0.63,0.5,0.63,2,2,0.2,0.25,0.03,0.28,0.25,0.28,Matches
Ben Osborn\Ben-Osborn,eng ENG,MFDF,Sheffield Utd,24,1994,13,6,594,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.9,0.05,0.13,0.18,0.05,0.18,Matches
Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,31,1988,24,18,1715,2,0,0,0,3,0,0.1,0,0.1,0.1,0.1,2.4,2.4,0.2,0.13,0.01,0.13,0.13,0.13,Matches
Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,25,1993,30,17,1485,4,1,0,0,1,0,0.24,0.06,0.3,0.24,0.3,3,3,1.3,0.18,0.08,0.27,0.18,0.27,Matches
Mesut Özil\Mesut-Ozil,de GER,MF,Arsenal,30,1988,18,18,1438,1,2,0,0,1,0,0.06,0.13,0.19,0.06,0.19,1.3,1.3,2.3,0.08,0.14,0.22,0.08,0.22,Matches
Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,24,1994,15,13,1024,0,0,0,0,3,0,0,0,0,0,0,1,1,1.4,0.09,0.12,0.21,0.09,0.21,Matches
Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,31,1988,19,19,1696,2,0,0,0,6,0,0.11,0,0.11,0.11,0.11,1,1,0.2,0.05,0.01,0.06,0.05,0.06,Matches
Troy Parrott\Troy-Parrott,ie IRL,MF,Tottenham,17,2002,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,38,38,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Pedro\Pedro,es ESP,FW,Chelsea,32,1987,11,8,661,1,1,0,0,1,0,0.14,0.14,0.27,0.14,0.27,2.9,2.9,0.8,0.39,0.11,0.5,0.39,0.5,Matches
João Pedro\Joao-Pedro,br BRA,FWMF,Watford,17,2001,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.19,0.54,0.73,0.19,0.73,Matches
Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,24,1995,31,22,2010,5,6,1,1,4,0,0.22,0.27,0.49,0.18,0.45,4.7,3.9,4.4,0.21,0.2,0.41,0.17,0.37,Matches
Andreas Pereira\Andreas-Pereira,br BRA,MFFW,Manchester Utd,23,1996,25,18,1484,1,3,0,0,3,0,0.06,0.18,0.24,0.06,0.24,2.4,2.4,4,0.15,0.24,0.39,0.15,0.39,Matches
Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,25,1993,28,28,2520,3,2,0,0,1,0,0.11,0.07,0.18,0.11,0.18,1.2,1.1,3.6,0.04,0.13,0.17,0.04,0.17,Matches
Roberto Pereyra\Roberto-Pereyra,ar ARG,FWMF,Watford,28,1991,28,17,1648,3,0,1,1,4,0,0.16,0,0.16,0.11,0.11,2.6,1.8,1.8,0.14,0.1,0.24,0.1,0.2,Matches
Ayoze Pérez\Ayoze-Perez,es ESP,MFFW,Leicester City,26,1993,33,26,2004,8,4,1,1,0,0,0.36,0.18,0.54,0.31,0.49,5.7,4.9,3.8,0.25,0.17,0.42,0.22,0.39,Matches
Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,38,38,3420,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,Matches
Brandon Pierrick\Brandon-Pierrick,eng ENG,MF,Crystal Palace,17,2001,2,0,15,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Matches
Erik Pieters\Erik-Pieters,nl NED,DFMF,Burnley,30,1988,24,21,1878,0,4,0,0,2,0,0,0.19,0.19,0,0.19,0.6,0.6,2.6,0.03,0.12,0.15,0.03,0.15,Matches
Daniel Podence\Daniel-Podence,pt POR,FWMF,Wolves,23,1995,9,3,289,1,0,0,0,0,0,0.31,0,0.31,0.31,0.31,1.6,1.6,0.4,0.49,0.13,0.62,0.49,0.62,Matches
Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,26,1993,16,13,1204,1,3,0,1,1,0,0.07,0.22,0.3,0.07,0.3,1.9,1.2,2.7,0.14,0.2,0.35,0.09,0.29,Matches
Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,38,38,3420,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7,0,0.02,0.02,0,0.02,Matches
Dennis Praet\Dennis-Praet,be BEL,MF,Leicester City,25,1994,27,12,1134,1,2,0,0,2,0,0.08,0.16,0.24,0.08,0.24,1.3,1.3,0.8,0.11,0.06,0.17,0.11,0.17,Matches
Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,32,1987,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,0.1,0.1,Matches
Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,27,1991,35,32,2829,1,2,0,0,4,0,0.03,0.06,0.1,0.03,0.1,1.3,1.3,2.2,0.04,0.07,0.11,0.04,0.11,Matches
Teemu Pukki\Teemu-Pukki,fi FIN,FW,Norwich City,29,1990,36,33,2886,11,3,2,2,3,0,0.34,0.09,0.44,0.28,0.37,12.4,10.8,3.1,0.39,0.1,0.48,0.34,0.43,Matches
Christian Pulisic\Christian-Pulisic,us USA,FW,Chelsea,20,1998,25,19,1722,9,4,0,0,0,0,0.47,0.21,0.68,0.47,0.68,8,8,3.4,0.42,0.18,0.59,0.42,0.59,Matches
Ignacio Pussetto\Ignacio-Pussetto,ar ARG,FWDF,Watford,23,1995,7,0,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Domingos Quina\Domingos-Quina,pt POR,MF,Watford,19,1999,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,37,37,3330,0,1,0,0,0,0,0,0.03,0.03,0,0.03,0,0,0.1,0,0,0,0,0,Matches
Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,21,1997,31,31,2643,17,7,6,8,3,0,0.58,0.24,0.82,0.37,0.61,17.6,11.5,4.6,0.6,0.16,0.76,0.39,0.55,Matches
Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,25,1994,32,32,2762,4,4,0,0,2,0,0.13,0.13,0.26,0.13,0.26,5,5,3.1,0.16,0.1,0.26,0.16,0.26,Matches
Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,12,12,1080,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Declan Rice\Declan-Rice,eng ENG,MF,West Ham,20,1999,38,38,3420,1,3,0,0,6,0,0.03,0.08,0.11,0.03,0.11,1.1,1.1,1.4,0.03,0.04,0.07,0.03,0.07,Matches
Richarlison\Richarlison,br BRA,FW,Everton,22,1997,36,36,3070,13,3,0,0,8,0,0.38,0.09,0.47,0.38,0.47,9,9,4.9,0.26,0.14,0.41,0.26,0.41,Matches
Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,26,1993,27,27,2332,0,4,0,0,6,0,0,0.15,0.15,0,0.15,0.3,0.3,2.8,0.01,0.11,0.12,0.01,0.12,Matches
Jaïro Riedewald\Jairo-Riedewald,nl NED,DFMF,Crystal Palace,22,1996,17,7,769,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.01,0.05,0.06,0.01,0.06,Matches
Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,29,1989,18,14,1315,2,1,0,1,4,0,0.14,0.07,0.21,0.14,0.21,1.5,0.7,2.2,0.1,0.15,0.25,0.05,0.2,Matches
Roberto\Roberto,es ESP,GK,West Ham,33,1986,8,7,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Patrick Roberts\Patrick-Roberts,eng ENG,MFFW,Norwich City,22,1997,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,25,1994,36,34,3111,2,12,0,0,2,0,0.06,0.35,0.41,0.06,0.41,1.6,1.6,7.2,0.05,0.21,0.26,0.05,0.26,Matches
Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,24,1995,16,9,676,1,1,0,0,1,0,0.13,0.13,0.27,0.13,0.27,2.1,2.1,0.5,0.28,0.07,0.35,0.28,0.35,Matches
Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,25,1993,6,6,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.04,0.04,0,0.04,Matches
Rodri\Rodri,es ESP,MF,Manchester City,23,1996,35,29,2486,3,2,0,0,8,0,0.11,0.07,0.18,0.11,0.18,1,1,1.6,0.04,0.06,0.09,0.04,0.09,Matches
Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,30,1989,36,20,2016,8,1,1,1,1,0,0.36,0.04,0.4,0.31,0.36,8,7.2,1,0.36,0.04,0.4,0.32,0.37,Matches
Jack Rodwell\Jack-Rodwell,eng ENG,MF,Sheffield Utd,28,1991,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,29,1990,3,1,122,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.08,0,0.08,0.08,0.08,Matches
Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,27,1991,30,20,1860,0,0,0,0,5,0,0,0,0,0,0,0.3,0.3,1.2,0.01,0.06,0.07,0.01,0.07,Matches
Danny Rose\Danny-Rose,eng ENG,DF,Newcastle Utd,29,1990,11,10,863,0,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0,0.02,0.02,0,0.02,Matches
Danny Rose\Danny-Rose,eng ENG,DF,Tottenham,29,1990,12,10,893,0,0,0,0,5,0,0,0,0,0,0,0.1,0.1,0.7,0.02,0.07,0.08,0.02,0.08,Matches
Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,26,1993,20,19,1710,2,0,0,0,3,0,0.11,0,0.11,0.11,0.11,0.5,0.5,0.4,0.03,0.02,0.05,0.03,0.05,Matches
Lukas Rupp\Lukas-Rupp,de GER,FWMF,Norwich City,28,1991,12,8,695,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.9,0.04,0.12,0.16,0.04,0.16,Matches
Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,38,38,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,26,23,1863,3,4,0,0,0,0,0.14,0.19,0.34,0.14,0.34,3,3,3.6,0.15,0.17,0.32,0.15,0.32,Matches
Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,33,31,2705,2,1,0,0,12,1,0.07,0.03,0.1,0.07,0.1,2.7,2.7,0.5,0.09,0.02,0.11,0.09,0.11,Matches
Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,17,2001,26,19,1753,1,5,0,0,6,0,0.05,0.26,0.31,0.05,0.31,1.3,1.3,3.6,0.07,0.19,0.25,0.07,0.25,Matches
Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,29,1990,14,11,931,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1,0,0.01,0.01,0,0.01,Matches
Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,27,1992,34,33,2876,19,10,3,3,1,0,0.59,0.31,0.91,0.5,0.81,19,16.7,7.1,0.6,0.22,0.82,0.52,0.75,Matches
Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,26,1992,14,11,943,1,0,0,0,1,0,0.1,0,0.1,0.1,0.1,1.8,1.8,0.2,0.18,0.02,0.2,0.18,0.2,Matches
Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,33,1986,6,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,29,27,2431,0,0,0,0,6,0,0,0,0,0,0,0.6,0.6,0,0.02,0,0.02,0.02,0.02,Matches
Leroy Sané\Leroy-Sane,de GER,FW,Manchester City,23,1996,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.83,0,0.83,0.83,0.83,Matches
Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Watford,21,1998,28,22,2028,5,4,0,0,1,0,0.22,0.18,0.4,0.22,0.4,5.8,5.8,3.3,0.26,0.15,0.4,0.26,0.4,Matches
Fabian Schär\Fabian-Schar,ch SUI,DFMF,Newcastle Utd,27,1991,22,18,1672,2,0,0,0,5,0,0.11,0,0.11,0.11,0.11,1.1,1.1,0.1,0.06,0.01,0.07,0.06,0.07,Matches
Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,30,1989,8,4,361,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0,0.09,0,0.09,0.09,0.09,Matches
Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFDF,Crystal Palace,26,1992,17,11,1036,3,1,0,0,2,0,0.26,0.09,0.35,0.26,0.35,1.8,1.8,1.1,0.15,0.09,0.25,0.15,0.25,Matches
Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,38,38,3420,0,0,0,0,2,0,0,0,0,0,0,0,0,0.4,0,0.01,0.01,0,0.01,Matches
