Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG▼,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
2,Liverpool,3,3,0,0,9,4,+5,9,8.9,2.8,+6.1,+2.03,W W W,,Sadio Mané Mohamed Salah - 3,Alisson,
3,Everton,3,3,0,0,8,3,+5,9,6.7,1.7,+5.0,+1.68,W W W,,Dominic Calvert-Lewin - 5,Jordan Pickford,
1,Leicester City,3,3,0,0,12,4,+8,9,6.1,3.3,+2.8,+0.93,W W W,,Jamie Vardy - 5,Kasper Schmeichel,
8,Tottenham,3,1,1,1,6,4,+2,4,5.8,3.9,+1.9,+0.63,L W D,,Son Heung-min - 4,Hugo Lloris,
12,Brighton,3,1,0,2,6,6,0,3,5.5,2.7,+2.8,+0.92,L W L,,Neal Maupay - 3,Mathew Ryan,
11,West Ham,3,1,0,2,5,4,+1,3,4.8,3.5,+1.3,+0.44,L L W,,Jarrod Bowen - 2,Łukasz Fabiański,
9,Chelsea,3,1,1,1,6,6,0,4,4.5,5.0,-0.5,-0.17,W L D,,Reece James Jorginho... - 1,Kepa Arrizabalaga,
5,Arsenal,3,2,0,1,6,4,+2,6,4.4,5.1,-0.7,-0.25,W W L,,Alexandre Lacazette - 3,Bernd Leno,
7,Leeds United,3,2,0,1,8,7,+1,6,3.8,6.7,-2.9,-0.95,L W W,,Patrick Bamford - 3,Illan Meslier,
19,Sheffield Utd,3,0,0,3,0,4,-4,0,3.1,3.7,-0.6,-0.21,L L L,,,Aaron Ramsdale,
10,Newcastle Utd,3,1,1,1,3,4,-1,4,3.0,5.2,-2.2,-0.73,W L D,,Callum Wilson - 2,Karl Darlow,
15,Southampton,3,1,0,2,3,6,-3,3,3.0,3.7,-0.7,-0.23,L L W,,Danny Ings - 3,Alex McCarthy,
13,Manchester City,2,1,0,1,5,6,-1,3,2.9,3.6,-0.6,-0.31,W L,,Nathan Aké Kevin De Bruyne... - 1,Ederson,
16,Wolves,3,1,0,2,3,7,-4,3,2.8,4.4,-1.6,-0.52,W L L,,Raúl Jiménez - 2,Rui Patrício,
6,Crystal Palace,3,2,0,1,5,3,+2,6,2.7,3.8,-1.1,-0.37,W W L,,Wilfried Zaha - 3,Vicente Guaita,
20,Fulham,3,0,0,3,3,10,-7,0,2.7,5.1,-2.4,-0.81,L L L,,Aleksandar Mitrović - 2,Alphonse Areola,
4,Aston Villa,2,2,0,0,4,0,+4,6,2.6,1.6,+1.1,+0.54,W W,,Ezri Konsa Jack Grealish... - 1,Emiliano Martínez,
18,Burnley,2,0,0,2,2,5,-3,0,2.4,2.0,+0.4,+0.21,L L,,Chris Wood Jimmy Dunne - 1,Nick Pope,
14,Manchester Utd,2,1,0,1,4,5,-1,3,2.2,4.0,-1.8,-0.91,L W,,Donny van de Beek Marcus Rashford... - 1,David de Gea,
17,West Brom,3,0,1,2,5,11,-6,1,1.7,7.9,-6.2,-2.05,L L D,,Callum Robinson - 2,Sam Johnstone,