,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
110,Kevin De Bruyne,be BEL,MF,Manchester City,28,1991,35,32,"2,791",13,20,2,2,3,0,0.42,0.64,1.06,0.35,1.00,7.6,6.1,18.4,0.25,0.59,0.84,0.20,0.79,Matches
111,Troy Deeney,eng ENG,FW,Watford,31,1988,27,26,"2,225",10,2,5,6,3,0,0.40,0.08,0.49,0.20,0.28,9.9,5.3,3.4,0.40,0.14,0.54,0.21,0.35,Matches
112,Fabian Delph,eng ENG,MF,Everton,29,1989,16,13,"1,190",0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.02,0.03,0.01,0.03,Matches
113,Leander Dendoncker,be BEL,"MF,DF",Wolves,24,1995,38,32,"2,795",4,0,0,0,5,0,0.13,0.00,0.13,0.13,0.13,1.7,1.7,0.6,0.05,0.02,0.07,0.05,0.07,Matches
114,Gerard Deulofeu,es ESP,FW,Watford,25,1994,28,25,"2,098",4,5,1,1,3,0,0.17,0.21,0.39,0.13,0.34,5.2,4.5,4.6,0.22,0.20,0.42,0.19,0.39,Matches
115,Eric Dier,eng ENG,"DF,MF",Tottenham,25,1994,19,15,"1,344",0,2,0,0,5,0,0.00,0.13,0.13,0.00,0.13,1.0,1.0,0.1,0.07,0.01,0.07,0.07,0.07,Matches
116,Lucas Digne,fr FRA,DF,Everton,26,1993,35,35,"3,030",0,7,0,0,6,0,0.00,0.21,0.21,0.00,0.21,1.5,1.5,5.7,0.04,0.17,0.21,0.04,0.21,Matches
117,Virgil van Dijk,nl NED,DF,Liverpool,28,1991,38,38,"3,420",5,1,0,0,1,0,0.13,0.03,0.16,0.13,0.16,2.8,2.8,1.3,0.07,0.03,0.11,0.07,0.11,Matches
118,Issa Diop,fr FRA,DF,West Ham,22,1997,32,31,"2,766",3,1,0,0,8,0,0.10,0.03,0.13,0.10,0.13,1.5,1.5,0.8,0.05,0.03,0.08,0.05,0.08,Matches
119,Moussa Djenepo,ml MLI,"MF,DF",Southampton,21,1998,18,10,928,2,2,0,0,4,1,0.19,0.19,0.39,0.19,0.39,2.5,2.5,1.3,0.24,0.12,0.37,0.24,0.37,Matches
120,Matt Doherty,ie IRL,DF,Wolves,27,1992,36,32,"2,839",4,3,0,0,1,0,0.13,0.10,0.22,0.13,0.22,5.1,5.1,1.7,0.16,0.05,0.22,0.16,0.22,Matches
121,Abdoulaye Doucouré,fr FRA,MF,Watford,26,1993,37,36,"3,156",4,2,0,0,9,0,0.11,0.06,0.17,0.11,0.17,5.0,5.0,2.6,0.14,0.08,0.22,0.14,0.22,Matches
122,Thomas Doyle,eng ENG,"MF,FW",Manchester City,17,2001,1,0,16,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.46,0.00,0.46,0.46,0.46,Matches
123,Danny Drinkwater,eng ENG,MF,Burnley,29,1990,1,1,58,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
124,Danny Drinkwater,eng ENG,MF,Aston Villa,29,1990,4,4,259,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.03,0.01,0.04,0.03,0.04,Matches
125,Josip Drmić,ch SUI,"FW,MF",Norwich City,26,1992,21,5,647,1,0,0,0,0,1,0.14,0.00,0.14,0.14,0.14,2.6,2.6,0.4,0.36,0.06,0.42,0.36,0.42,Matches
126,Martin Dúbravka,sk SVK,GK,Newcastle Utd,30,1989,38,38,"3,420",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
127,Ondrej Duda,sk SVK,MF,Norwich City,24,1994,10,9,724,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,1.0,0.10,0.13,0.23,0.10,0.23,Matches
128,Shane Duffy,ie IRL,DF,Brighton,27,1992,19,12,"1,238",1,0,0,0,2,0,0.07,0.00,0.07,0.07,0.07,1.5,1.5,0.0,0.11,0.00,0.11,0.11,0.11,Matches
129,Paul Dummett,wal WAL,DF,Newcastle Utd,27,1991,16,14,"1,228",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
130,Lewis Dunk,eng ENG,DF,Brighton,27,1991,36,36,"3,230",3,3,0,0,9,0,0.08,0.08,0.17,0.08,0.17,4.2,4.2,1.1,0.12,0.03,0.15,0.12,0.15,Matches
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Ederson,br BRA,GK,Manchester City,25,1993,35,35,"3,071",0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
133,John Egan,ie IRL,DF,Sheffield Utd,26,1992,36,36,"3,187",2,0,0,0,5,1,0.06,0.00,0.06,0.06,0.06,2.3,2.3,0.1,0.06,0.00,0.07,0.06,0.07,Matches
134,Harvey Elliot,eng ENG,DF,Liverpool,16,2003,2,0,8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
135,Ahmed Elmohamady,eg EGY,DF,Aston Villa,31,1987,18,11,"1,031",1,1,0,0,1,0,0.09,0.09,0.17,0.09,0.17,0.2,0.2,2.6,0.02,0.23,0.25,0.02,0.25,Matches
136,Björn Engels,be BEL,DF,Aston Villa,24,1994,17,15,"1,447",1,0,0,0,1,0,0.06,0.00,0.06,0.06,0.06,0.8,0.8,0.1,0.05,0.00,0.05,0.05,0.05,Matches
137,Christian Eriksen,dk DEN,"MF,FW",Tottenham,27,1992,20,10,"1,097",2,2,0,0,5,0,0.16,0.16,0.33,0.16,0.33,1.9,1.9,1.9,0.16,0.16,0.32,0.16,0.32,Matches
138,Jonny Evans,nir NIR,DF,Leicester City,31,1988,38,38,"3,383",1,1,0,0,8,1,0.03,0.03,0.05,0.03,0.05,2.6,2.6,0.6,0.07,0.01,0.08,0.07,0.08,Matches
139,Łukasz Fabiański,pl POL,GK,West Ham,34,1985,25,25,"2,117",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
140,Fabinho,br BRA,MF,Liverpool,25,1993,28,22,"2,079",2,3,0,0,6,0,0.09,0.13,0.22,0.09,0.22,0.4,0.4,1.8,0.02,0.08,0.09,0.02,0.09,Matches
141,Ralf Fährmann,de GER,GK,Norwich City,30,1988,1,1,21,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
142,Akin Famewo,eng ENG,MF,Norwich City,20,1998,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
143,Kiko Femenía,es ESP,DF,Watford,28,1991,28,26,"2,237",0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.6,0.00,0.06,0.07,0.00,0.07,Matches
144,Bruno Fernandes,pt POR,MF,Manchester Utd,24,1994,14,14,"1,186",8,7,4,4,2,0,0.61,0.53,1.14,0.30,0.83,5.9,2.8,2.6,0.45,0.19,0.64,0.21,0.41,Matches
145,Gedson Fernandes,pt POR,"MF,DF",Tottenham,20,1999,7,0,68,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.06,0.22,0.28,0.06,0.28,Matches
146,Federico Fernández,ar ARG,DF,Newcastle Utd,30,1989,32,29,"2,620",2,2,0,0,8,0,0.07,0.07,0.14,0.07,0.14,1.7,1.7,0.2,0.06,0.01,0.07,0.06,0.07,Matches
147,Fernandinho,br BRA,DF,Manchester City,34,1985,30,26,"2,397",0,1,0,0,9,2,0.00,0.04,0.04,0.00,0.04,1.1,1.1,0.6,0.04,0.02,0.06,0.04,0.06,Matches
148,Roberto Firmino,br BRA,FW,Liverpool,27,1991,38,34,"2,988",9,8,0,0,0,0,0.27,0.24,0.51,0.27,0.51,13.4,13.4,6.1,0.40,0.18,0.59,0.40,0.59,Matches
149,John Fleck,sco SCO,MF,Sheffield Utd,27,1991,30,28,"2,516",5,2,0,0,8,0,0.18,0.07,0.25,0.18,0.25,3.3,3.3,3.4,0.12,0.12,0.24,0.12,0.24,Matches
150,Phil Foden,eng ENG,"FW,MF",Manchester City,19,2000,23,9,901,5,2,0,0,0,0,0.50,0.20,0.70,0.50,0.70,4.3,4.3,2.0,0.43,0.20,0.63,0.43,0.63,Matches
151,Pablo Fornals,es ESP,"MF,FW",West Ham,23,1996,36,24,"2,172",2,5,0,0,3,0,0.08,0.21,0.29,0.08,0.29,2.8,2.8,2.1,0.12,0.09,0.20,0.12,0.20,Matches
152,Ben Foster,eng ENG,GK,Watford,36,1983,38,38,"3,420",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.00,Matches
153,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,3,2,136,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.04,0.08,0.13,0.04,0.13,Matches
154,Dimitri Foulquier,fr FRA,"MF,DF",Watford,26,1993,3,1,59,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
155,Juan Foyth,ar ARG,DF,Tottenham,21,1998,4,1,68,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
156,Simon Francis,eng ENG,DF,Bournemouth,34,1985,15,10,969,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.02,0.03,0.04,0.02,0.04,Matches
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Ryan Fraser,sco SCO,"MF,FW",Bournemouth,25,1994,28,21,"2,067",1,4,0,0,2,0,0.04,0.17,0.22,0.04,0.22,3.2,3.2,4.1,0.14,0.18,0.32,0.14,0.32,Matches
159,Fred,br BRA,MF,Manchester Utd,26,1993,29,23,"2,163",0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,1.9,1.9,2.5,0.08,0.10,0.18,0.08,0.18,Matches
160,Ryan Fredericks,eng ENG,DF,West Ham,26,1992,27,25,"2,237",0,3,0,0,7,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,2.4,0.01,0.10,0.10,0.01,0.10,Matches
161,Kieron Freeman,wal WAL,FW,Sheffield Utd,27,1992,2,0,7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
162,Luke Freeman,eng ENG,MF,Sheffield Utd,27,1992,11,3,366,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.07,0.08,0.01,0.08,Matches
163,Christian Fuchs,at AUT,DF,Leicester City,33,1986,11,8,772,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.02,0.01,0.03,0.02,0.03,Matches
164,Eric García,es ESP,DF,Manchester City,18,2001,13,8,793,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.07,0.02,0.09,0.07,0.09,Matches
165,James Garner,eng ENG,MF,Manchester Utd,18,2001,1,0,9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
166,Dwight Gayle,eng ENG,FW,Newcastle Utd,28,1990,20,10,850,4,2,0,0,2,0,0.42,0.21,0.64,0.42,0.64,4.5,4.5,0.8,0.48,0.08,0.56,0.48,0.56,Matches
167,Paulo Gazzaniga,ar ARG,GK,Tottenham,27,1992,18,17,"1,613",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.00,0.02,0.02,0.00,0.02,Matches
168,Jean-Philippe Gbamin,ci CIV,MF,Everton,23,1995,2,1,136,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
169,David de Gea,es ESP,GK,Manchester Utd,28,1990,38,38,"3,420",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
170,Anwar El Ghazi,nl NED,"FW,MF",Aston Villa,24,1995,34,26,"2,051",4,4,1,1,3,0,0.18,0.18,0.35,0.13,0.31,5.8,5.1,2.8,0.26,0.12,0.38,0.22,0.34,Matches
171,Morgan Gibbs-White,eng ENG,"MF,FW",Wolves,19,2000,7,1,129,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.05,0.07,0.12,0.05,0.12,Matches
172,Billy Gilmour,sco SCO,MF,Chelsea,18,2001,6,2,194,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.06,0.08,0.01,0.08,Matches
173,Olivier Giroud,fr FRA,FW,Chelsea,32,1986,18,12,993,8,0,0,0,1,0,0.73,0.00,0.73,0.73,0.73,6.7,6.7,1.3,0.61,0.12,0.73,0.61,0.73,Matches
174,Ben Godfrey,eng ENG,DF,Norwich City,21,1998,30,30,"2,644",0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.03,0.00,0.03,0.03,0.03,Matches
175,André Gomes,pt POR,MF,Everton,26,1993,19,17,"1,458",0,1,0,0,6,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,0.8,0.02,0.05,0.06,0.02,0.06,Matches
176,Angel Gomes,eng ENG,MF,Manchester Utd,18,2000,2,0,21,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.54,0.54,0.00,0.54,Matches
177,Joe Gomez,eng ENG,DF,Liverpool,22,1997,28,22,"2,004",0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.01,0.01,0.00,0.01,Matches
178,Anthony Gordon,eng ENG,"MF,FW",Everton,18,2001,11,4,440,0,1,0,0,0,0,0.00,0.20,0.20,0.00,0.20,0.3,0.3,0.4,0.05,0.07,0.12,0.05,0.12,Matches
179,Dan Gosling,eng ENG,MF,Bournemouth,29,1990,24,14,"1,264",3,1,0,0,3,0,0.21,0.07,0.28,0.21,0.28,2.1,2.1,1.0,0.15,0.07,0.22,0.15,0.22,Matches
180,Andre Gray,eng ENG,FW,Watford,28,1991,23,7,755,2,0,0,0,1,0,0.24,0.00,0.24,0.24,0.24,2.9,2.9,1.6,0.35,0.19,0.54,0.35,0.54,Matches
181,Demarai Gray,eng ENG,"MF,FW",Leicester City,23,1996,21,3,622,2,3,0,1,1,0,0.29,0.43,0.72,0.29,0.72,2.5,1.8,1.6,0.36,0.23,0.59,0.25,0.48,Matches
182,Jack Grealish,eng ENG,"FW,MF",Aston Villa,23,1995,36,36,"3,233",8,6,0,1,8,0,0.22,0.17,0.39,0.22,0.39,6.4,5.6,6.9,0.18,0.19,0.37,0.16,0.35,Matches
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Mason Greenwood,eng ENG,FW,Manchester Utd,17,2001,31,12,"1,320",10,1,0,0,0,0,0.68,0.07,0.75,0.68,0.75,3.7,3.7,0.7,0.25,0.05,0.30,0.25,0.30,Matches
185,Arnaut Groeneveld,nl NED,MF,Bournemouth,22,1997,14,6,630,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.3,0.16,0.04,0.19,0.16,0.19,Matches
186,Pascal Groß,de GER,"FW,MF",Brighton,28,1991,29,22,"1,796",2,4,0,0,4,0,0.10,0.20,0.30,0.10,0.30,1.8,1.8,5.1,0.09,0.26,0.35,0.09,0.35,Matches
187,Vicente Guaita,es ESP,GK,Crystal Palace,32,1987,35,35,"3,150",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
188,Mattéo Guendouzi,fr FRA,MF,Arsenal,20,1999,24,19,"1,748",0,1,0,0,6,0,0.00,0.05,0.05,0.00,0.05,0.7,0.7,1.3,0.03,0.07,0.10,0.03,0.10,Matches
189,Frederic Guilbert,fr FRA,DF,Aston Villa,24,1994,25,22,"2,041",0,2,0,0,7,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,1.4,0.02,0.06,0.08,0.02,0.08,Matches
190,İlkay Gündoğan,de GER,MF,Manchester City,28,1990,31,21,"2,020",2,1,1,2,7,0,0.09,0.04,0.13,0.04,0.09,4.5,3.0,2.8,0.20,0.12,0.32,0.13,0.26,Matches
191,Angus Gunn,eng ENG,GK,Southampton,23,1996,10,10,900,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
192,Sébastien Haller,fr FRA,FW,West Ham,25,1994,32,24,"2,266",7,1,0,0,1,0,0.28,0.04,0.32,0.28,0.32,7.7,7.7,1.9,0.31,0.08,0.38,0.31,0.38,Matches
193,Grant Hanley,sco SCO,DF,Norwich City,27,1991,15,14,"1,262",0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.03,0.00,0.03,0.03,0.03,Matches
194,Kortney Hause,eng ENG,DF,Aston Villa,24,1995,18,17,"1,545",1,0,0,0,3,0,0.06,0.00,0.06,0.06,0.06,2.2,2.2,0.2,0.13,0.01,0.14,0.13,0.14,Matches
195,Isaac Hayden,eng ENG,MF,Newcastle Utd,24,1995,29,26,"2,223",1,2,0,0,4,1,0.04,0.08,0.12,0.04,0.12,1.2,1.2,1.5,0.05,0.06,0.11,0.05,0.11,Matches
196,Tom Heaton,eng ENG,GK,Aston Villa,33,1986,20,20,"1,794",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
197,Dean Henderson,eng ENG,GK,Sheffield Utd,22,1997,36,36,"3,240",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
198,Jordan Henderson,eng ENG,MF,Liverpool,29,1990,30,26,"2,238",4,5,0,0,2,0,0.16,0.20,0.36,0.16,0.36,1.4,1.4,2.9,0.06,0.11,0.17,0.06,0.17,Matches
199,Jeff Hendrick,ie IRL,MF,Burnley,27,1992,24,22,"1,931",2,2,0,0,8,0,0.09,0.09,0.19,0.09,0.19,1.6,1.6,0.8,0.07,0.04,0.11,0.07,0.11,Matches
200,Wayne Hennessey,wal WAL,GK,Crystal Palace,32,1987,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
201,Javier Hernández,mx MEX,FW,West Ham,31,1988,2,1,107,1,0,0,0,0,0,0.84,0.00,0.84,0.84,0.84,0.7,0.7,0.0,0.62,0.00,0.62,0.62,0.62,Matches
202,Onel Hernández,cu CUB,"FW,MF",Norwich City,26,1993,26,14,"1,384",1,2,0,0,0,0,0.07,0.13,0.20,0.07,0.20,2.6,2.6,0.9,0.17,0.06,0.23,0.17,0.23,Matches
203,Son Heung-min,kr KOR,"FW,MF",Tottenham,27,1992,30,28,"2,476",11,10,0,1,0,2,0.40,0.36,0.76,0.40,0.76,8.7,7.8,6.8,0.31,0.25,0.56,0.28,0.53,Matches
204,George Hirst,eng ENG,FW,Leicester City,20,1999,2,0,11,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.96,0.00,0.96,0.96,0.96,Matches
205,Rob Holding,eng ENG,DF,Arsenal,23,1995,8,6,581,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.01,0.00,0.01,0.01,0.01,Matches
206,José Holebas,gr GRE,DF,Watford,35,1984,14,11,"1,025",0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,0.05,0.06,0.11,0.05,0.11,Matches
207,Mason Holgate,eng ENG,DF,Everton,22,1996,27,24,"2,054",0,3,0,0,5,0,0.00,0.13,0.13,0.00,0.13,2.2,2.2,0.4,0.10,0.02,0.12,0.10,0.12,Matches
208,Nathan Holland,eng ENG,MF,West Ham,21,1998,2,0,33,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.13,0.00,0.13,0.13,0.13,Matches
209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Conor Hourihane,ie IRL,MF,Aston Villa,28,1991,27,18,"1,534",3,5,0,0,4,0,0.18,0.29,0.47,0.18,0.47,1.7,1.7,5.2,0.10,0.30,0.40,0.10,0.40,Matches
211,Callum Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,22,7,863,1,5,0,0,1,0,0.10,0.52,0.63,0.10,0.63,1.7,1.7,2.8,0.17,0.29,0.46,0.17,0.46,Matches
212,Will Hughes,eng ENG,"MF,FW",Watford,24,1995,30,27,"2,252",1,1,0,0,9,0,0.04,0.04,0.08,0.04,0.08,2.7,2.7,1.3,0.11,0.05,0.16,0.11,0.16,Matches
213,Pierre Højbjerg,dk DEN,MF,Southampton,23,1995,33,30,"2,752",0,1,0,0,5,0,0.00,0.03,0.03,0.00,0.03,2.6,2.6,2.0,0.09,0.07,0.15,0.09,0.15,Matches
214,Jordon Ibe,eng ENG,DF,Bournemouth,23,1995,2,0,50,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
215,Adam Idah,ie IRL,"FW,MF",Norwich City,18,2001,12,1,228,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,0.39,0.01,0.40,0.39,0.40,Matches
216,Odion Ighalo,ng NGA,FW,Manchester Utd,30,1989,11,0,101,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.2,1.33,0.15,1.49,1.33,1.49,Matches
217,Kelechi Iheanacho,ng NGA,FW,Leicester City,22,1996,20,12,960,5,3,0,0,1,0,0.47,0.28,0.75,0.47,0.75,4.8,4.8,2.5,0.45,0.23,0.68,0.45,0.68,Matches
